strain,reads
cmc_084_1,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_1_C.merolae/cmc_084_1_C.merolae.hifi_reads.fastq
cmc_084_2,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_2_C.merolae/cmc_084_2_C.merolae.hifi_reads.fastq
cmc_084_3,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_3_C.merolae/cmc_084_3_C.merolae.hifi_reads.fastq
cmc_084_4,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_4_C.merolae/cmc_084_4_C.merolae.hifi_reads.fastq
cmc_084_5,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_5_C.merolae/cmc_084_5_C.merolae.hifi_reads.fastq
cmc_084_6,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_6_C.merolae/cmc_084_6_C.merolae.hifi_reads.fastq
cmc_084_7,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_7_C.merolae/cmc_084_7_C.merolae.hifi_reads.fastq
cmc_084_8,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_8_C.merolae/cmc_084_8_C.merolae.hifi_reads.fastq
cmc_084_9,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_9_C.merolae/cmc_084_9_C.merolae.hifi_reads.fastq
cmc_084_10,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_10_C.merolae/cmc_084_10_C.merolae.hifi_reads.fastq
cmc_084_11,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_084_11_C.merolae/cmc_084_11_C.merolae.hifi_reads.fastq
cmc_087_1,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_1_C.merolae/cmc_087_1_C.merolae.hifi_reads.fastq
cmc_087_2,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_2_C.merolae/cmc_087_2_C.merolae.hifi_reads.fastq
cmc_087_3,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_3_C.merolae/cmc_087_3_C.merolae.hifi_reads.fastq
cmc_087_4,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_4_C.merolae/cmc_087_4_C.merolae.hifi_reads.fastq
cmc_087_6,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_6_C.merolae/cmc_087_6_C.merolae.hifi_reads.fastq
cmc_087_7,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_7_C.merolae/cmc_087_7_C.merolae.hifi_reads.fastq
cmc_087_10,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_10_C.merolae/cmc_087_10_C.merolae.hifi_reads.fastq
cmc_087_11,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_11_C.merolae/cmc_087_11_C.merolae.hifi_reads.fastq
cmc_087_12,/ibex/project/c2303/ALL-BCL-SEQ-READS/BCLCustomers/lauersk/Revio/r84180_20260202_132551/1_A01/version_01/cmc_087_12_C.merolae/cmc_087_12_C.merolae.hifi_reads.fastq
